"Timestamp","Username","For new players only, what do you want your username to be?","Top 3 of the Week (Pick #1) (2 Points)","Top 3 of the Week (Pick #2) (2 Points)","Top 3 of the Week (Pick #3) (2 Points)","Of the top 3, who's the winner of the week? (5 Points)","Bottom 3 of the Week (Pick #1) (2 Points)","Bottom 3 of the Week (Pick #2) (2 Points)","Bottom 3 of the Week (Pick #3) (2 Points)","Of the bottom 3, who is the eliminated queen of the week? (5 Points)","Who will be the first queen to cry this episode? (3 Points)"
"2022/01/30 6:28:34 PM PST","edwin","","Lady Camden","Willow Pill","Bosco","Lady Camden","Orion Story","Deja Skye","Maddy Morphosis","Orion Story","Jasmine Kennedie"
"2022/01/31 3:48:46 PM PST","Ball Enchilada","","Willow Pill","Kornbread Jete","Angeria Paris VanMichaels","Kornbread Jete","Orion Story","Maddy Morphosis","Jasmine Kennedie","Orion Story","Kornbread Jete"
"2022/01/31 9:09:00 PM PST","The Scorpio ♏️","","Willow Pill","Maddy Morphosis","Kornbread Jete","Willow Pill","Jasmine Kennedie","Deja Skye","Orion Story","Orion Story","Kornbread Jete"
"2022/01/31 9:23:44 PM PST","MattMatt","","Willow Pill","Kornbread Jete","Bosco","Bosco","Jorgeous","Orion Story","Kerri Colby","Orion Story","Kornbread Jete"
"2022/01/31 10:22:03 PM PST","Logie","","Willow Pill","Kornbread Jete","Bosco","Bosco","Jorgeous","Jasmine Kennedie","Orion Story","Orion Story","Deja Skye"
"2022/02/01 5:13:38 PM PST","Poinhub","","Bosco","Angeria Paris VanMichaels","Willow Pill","Bosco","Orion Story","Jorgeous","Lady Camden","Orion Story","Kerri Colby"
"2022/02/01 5:31:54 PM PST","azkratie","","Angeria Paris VanMichaels","Willow Pill","Bosco","Angeria Paris VanMichaels","Jorgeous","Lady Camden","Jasmine Kennedie","Jorgeous","Jasmine Kennedie"
"2022/02/01 5:37:12 PM PST","Evanbettez1","","Willow Pill","Angeria Paris VanMichaels","Maddy Morphosis","Angeria Paris VanMichaels","Deja Skye","Daya Betty","Jorgeous","Jorgeous","Jasmine Kennedie"
"2022/02/01 6:48:02 PM PST","Jojo","","Willow Pill","Angeria Paris VanMichaels","Maddy Morphosis","Willow Pill","Orion Story","Daya Betty","Jasmine Kennedie","Daya Betty","Jasmine Kennedie"
"2022/02/01 8:11:58 PM PST","Damian","","Willow Pill","Bosco","Angeria Paris VanMichaels","Willow Pill","Jorgeous","Kornbread Jete","Orion Story","Orion Story","Lady Camden"
"2022/02/01 9:30:59 PM PST","Rawhul","","Angeria Paris VanMichaels","Bosco","Jorgeous","Jorgeous","Deja Skye","Jasmine Kennedie","Maddy Morphosis","Maddy Morphosis","Jasmine Kennedie"
"2022/02/01 11:00:20 PM PST","Derek Berry","","Kornbread Jete","Willow Pill","Angeria Paris VanMichaels","Angeria Paris VanMichaels","Maddy Morphosis","Daya Betty","Deja Skye","Deja Skye","Kornbread Jete"
"2022/02/02 6:26:28 AM PST","thatonebitch aka t1b","","Angeria Paris VanMichaels","Kornbread Jete","Willow Pill","Willow Pill","Orion Story","Maddy Morphosis","Jasmine Kennedie","Orion Story","Kornbread Jete"
"2022/02/02 4:03:41 PM PST","Miguelol","","Deja Skye","Angeria Paris VanMichaels","Kornbread Jete","Kornbread Jete","Maddy Morphosis","Jasmine Kennedie","Jorgeous","Jasmine Kennedie","Jasmine Kennedie"
"2022/02/04 7:48:53 PM PST","Eric seeeeee","","Maddy Morphosis","Angeria Paris VanMichaels","Deja Skye","Deja Skye","Kerri Colby","Kornbread Jete","Kerri Colby","Lady Camden","Kornbread Jete"